emotion,activity,emotionId,activityId
Anxiety,Socialize,6,9
Sympathy,activity,27,1
emotion,Run,1,2
Aesthetic appreciation,Study,4,8
Amusement,Write,5,7
Confusion,activity,11,1
Fear,Walk,18,13
Romance,Sleep,23,10
Empathetic pain,activity,14,1
Romance,Dance,23,5
Sexual desire,Meditate,26,3
Craving,Lift Weights,12,11
Anxiety,Write,6,7
Satisfaction,Socialize,25,9
Envy,Sing,16,4
Joy,activity,21,1
Amusement,Socialize,5,9
Interest,Meditate,20,3
Interest,Sleep,20,10
Joy,activity,21,1
Confusion,Draw,11,6
Nostalgia,Meditate,22,3
Romance,Study,23,8
Interest,Study,20,8
Awe,Write,7,7
Entrancement,Walk,15,13
Empathetic pain,Meditate,14,3
Admiration,Lift Weights,2,11
Admiration,Meditate,2,3
Empathetic pain,Run,14,2
Disgust,Draw,13,6
Aesthetic appreciation,Dance,4,5
Entrancement,Walk,15,13
Satisfaction,Plank,25,12
Adoration,Draw,3,6
Romance,Study,23,8
Aesthetic appreciation,Meditate,4,3
Disgust,Write,13,7
Adoration,Lift Weights,3,11
Interest,Draw,20,6
Awe,Lift Weights,7,11
Joy,Lift Weights,21,11
Fear,Dance,18,5
Calmness,Study,10,8
Entrancement,Write,15,7
Anxiety,Socialize,6,9
Craving,activity,12,1
Confusion,Write,11,7
Calmness,Walk,10,13
Adoration,Plank,3,12
Fear,Write,18,7
Empathetic pain,Write,14,7
Anxiety,Meditate,6,3
Anxiety,activity,6,1
Craving,Run,12,2
Satisfaction,Meditate,25,3
Romance,Dance,23,5
Craving,Meditate,12,3
Envy,Write,16,7
Sexual desire,activity,26,1
Anxiety,Write,6,7
Anxiety,Study,6,8
Awkwardness,Plank,8,12
Envy,Socialize,16,9
Awe,Sleep,7,10
Satisfaction,Dance,25,5
Joy,Dance,21,5
Anxiety,Meditate,6,3
Empathetic pain,Plank,14,12
Entrancement,Sing,15,4
Nostalgia,Lift Weights,22,11
Satisfaction,Draw,25,6
Sexual desire,Meditate,26,3
Fear,Socialize,18,9
Satisfaction,Draw,25,6
Boredom,Walk,9,13
Romance,Dance,23,5
Envy,Plank,16,12
Aesthetic appreciation,Write,4,7
Fear,Plank,18,12
Nostalgia,Meditate,22,3
Fear,Meditate,18,3
Joy,Dance,21,5
Amusement,Study,5,8
Entrancement,Plank,15,12
Amusement,Sleep,5,10
Adoration,Draw,3,6
Disgust,Socialize,13,9
Boredom,Plank,9,12
Horror,activity,19,1
Empathetic pain,Run,14,2
Admiration,Sleep,2,10
Nostalgia,Run,22,2
Anxiety,Sleep,6,10
emotion,Run,1,2
Amusement,Socialize,5,9
emotion,Run,1,2
Awe,Draw,7,6
Craving,Run,12,2
Satisfaction,Run,25,2
Boredom,Sing,9,4
Aesthetic appreciation,activity,4,1
Horror,Lift Weights,19,11
Envy,Dance,16,5
Awkwardness,Sleep,8,10
Boredom,Study,9,8
Amusement,Lift Weights,5,11
Disgust,Meditate,13,3
Awe,Lift Weights,7,11
Envy,Draw,16,6
Romance,Run,23,2
Empathetic pain,Run,14,2
Anxiety,Write,6,7
Interest,Run,20,2
Aesthetic appreciation,Sing,4,4
emotion,Run,1,2
Entrancement,Meditate,15,3
Fear,Write,18,7
Nostalgia,Sleep,22,10
Horror,Write,19,7
Adoration,Meditate,3,3
Empathetic pain,Socialize,14,9
Satisfaction,Socialize,25,9
Romance,Sing,23,4
Boredom,Meditate,9,3
Excitement,Sleep,17,10
Horror,Meditate,19,3
Craving,Plank,12,12
Calmness,activity,10,1
Horror,Meditate,19,3
Calmness,Plank,10,12
Sadness,Write,24,7
Satisfaction,Run,25,2
Romance,Walk,23,13
Aesthetic appreciation,Run,4,2
Adoration,activity,3,1
Boredom,Lift Weights,9,11
Empathetic pain,Study,14,8
Aesthetic appreciation,Run,4,2
Entrancement,Dance,15,5
Envy,Study,16,8
Craving,Write,12,7
Disgust,Sleep,13,10
Empathetic pain,Sleep,14,10
emotion,Run,1,2
Excitement,Lift Weights,17,11
Fear,Write,18,7
Joy,Draw,21,6
Confusion,Lift Weights,11,11
Horror,Study,19,8
Awkwardness,Plank,8,12
Sexual desire,activity,26,1
Calmness,Dance,10,5
Aesthetic appreciation,Sing,4,4
Disgust,Run,13,2
Confusion,Draw,11,6
Adoration,Lift Weights,3,11
Joy,Sleep,21,10
Sympathy,Dance,27,5
Empathetic pain,Study,14,8
Boredom,Run,9,2
Empathetic pain,Sleep,14,10
Anxiety,Draw,6,6
Horror,Lift Weights,19,11
Confusion,Sing,11,4
Boredom,Run,9,2
Nostalgia,Run,22,2
Satisfaction,Meditate,25,3
emotion,Run,1,2
Awe,activity,7,1
Aesthetic appreciation,Lift Weights,4,11
Awe,Walk,7,13
Confusion,Walk,11,13
Sexual desire,Write,26,7
Amusement,Draw,5,6
Sadness,Meditate,24,3
Excitement,activity,17,1
Empathetic pain,Plank,14,12
Interest,Walk,20,13
Sexual desire,activity,26,1
Boredom,activity,9,1
Calmness,Study,10,8
Horror,Walk,19,13
Interest,Study,20,8
Fear,Sing,18,4
Sexual desire,Sleep,26,10
Confusion,Sing,11,4
Aesthetic appreciation,Write,4,7
Romance,Run,23,2
Amusement,Draw,5,6
Sexual desire,Run,26,2
Adoration,Study,3,8
Empathetic pain,Study,14,8
Entrancement,Plank,15,12
Sexual desire,Draw,26,6
Aesthetic appreciation,Run,4,2
Entrancement,activity,15,1
Disgust,Draw,13,6
Joy,Sleep,21,10
Empathetic pain,Sleep,14,10
Romance,activity,23,1
Interest,Draw,20,6
Confusion,Plank,11,12
Romance,Run,23,2
Disgust,activity,13,1
Admiration,Sing,2,4
Admiration,Sing,2,4
Calmness,Dance,10,5
Anxiety,Plank,6,12
Admiration,Dance,2,5
Calmness,Draw,10,6
Interest,Sing,20,4
Calmness,activity,10,1
Anxiety,Write,6,7
Aesthetic appreciation,Walk,4,13
Interest,Sleep,20,10
Joy,Walk,21,13
Sympathy,activity,27,1
Sadness,Dance,24,5
Disgust,Dance,13,5
Romance,Meditate,23,3
Aesthetic appreciation,Meditate,4,3
Interest,Sing,20,4
Joy,Sing,21,4
Confusion,Write,11,7
Interest,Walk,20,13
Nostalgia,Lift Weights,22,11
Nostalgia,Sleep,22,10
Romance,Write,23,7
Sadness,Run,24,2
Sadness,Write,24,7
Satisfaction,Study,25,8
Disgust,Dance,13,5
emotion,Run,1,2
Horror,Draw,19,6
Admiration,Sleep,2,10
Craving,Socialize,12,9
Adoration,Lift Weights,3,11
Admiration,Meditate,2,3
Satisfaction,Sleep,25,10
Disgust,Lift Weights,13,11
Entrancement,Study,15,8
Aesthetic appreciation,Meditate,4,3
Excitement,Lift Weights,17,11
Nostalgia,Dance,22,5
Nostalgia,activity,22,1
Sadness,Dance,24,5
Boredom,Walk,9,13
Empathetic pain,Run,14,2
Awe,Socialize,7,9
Romance,Draw,23,6
Nostalgia,Socialize,22,9
emotion,Run,1,2
Awe,Walk,7,13
Envy,Lift Weights,16,11
Calmness,Meditate,10,3
Admiration,Plank,2,12
Envy,Walk,16,13
Horror,Sing,19,4
Disgust,Run,13,2
Romance,Lift Weights,23,11
Empathetic pain,Write,14,7
Craving,Run,12,2
Aesthetic appreciation,Plank,4,12
Anxiety,activity,6,1
Horror,Study,19,8
Calmness,Sing,10,4
Awkwardness,Study,8,8
Horror,Walk,19,13
Excitement,Draw,17,6
Amusement,Lift Weights,5,11
Aesthetic appreciation,Study,4,8
Awe,activity,7,1
emotion,Run,1,2
Satisfaction,Study,25,8
Nostalgia,Lift Weights,22,11
Confusion,Meditate,11,3
Empathetic pain,Draw,14,6
Calmness,Plank,10,12
Craving,Sing,12,4
emotion,Run,1,2
Romance,Sing,23,4
Satisfaction,Lift Weights,25,11
Horror,Study,19,8
Nostalgia,Write,22,7
Awe,Write,7,7
Awkwardness,Plank,8,12
Admiration,Meditate,2,3
Nostalgia,activity,22,1
Awkwardness,Study,8,8
Nostalgia,Sing,22,4
Amusement,Draw,5,6
Nostalgia,Lift Weights,22,11
Horror,Write,19,7
Sadness,Study,24,8
Adoration,Study,3,8
Admiration,Walk,2,13
Nostalgia,activity,22,1
Amusement,Draw,5,6
Interest,activity,20,1
Entrancement,Meditate,15,3
Boredom,Socialize,9,9
Interest,Lift Weights,20,11
Calmness,Draw,10,6
Awkwardness,Sing,8,4
Aesthetic appreciation,activity,4,1
Confusion,Sleep,11,10
Envy,Sing,16,4
Boredom,activity,9,1
Envy,Sing,16,4
Satisfaction,Meditate,25,3
Awe,Socialize,7,9
Empathetic pain,Meditate,14,3
Romance,Socialize,23,9
Joy,Meditate,21,3
Disgust,Plank,13,12
Empathetic pain,Study,14,8
Awe,Meditate,7,3
Empathetic pain,Lift Weights,14,11
Admiration,Walk,2,13
Anxiety,Lift Weights,6,11
Romance,Plank,23,12
Awkwardness,Run,8,2
Nostalgia,Run,22,2
Disgust,Run,13,2
Anxiety,Walk,6,13
Adoration,Socialize,3,9
Horror,Draw,19,6
Excitement,activity,17,1
Aesthetic appreciation,Meditate,4,3
Admiration,Study,2,8
Anxiety,Sleep,6,10
Interest,Write,20,7
Envy,Plank,16,12
Awkwardness,Dance,8,5
Envy,Study,16,8
Horror,Socialize,19,9
Disgust,Lift Weights,13,11
emotion,Run,1,2
Sympathy,Draw,27,6
Sympathy,Plank,27,12
Entrancement,Lift Weights,15,11
Awe,Write,7,7
Horror,Socialize,19,9
Excitement,Write,17,7
Sadness,activity,24,1
Fear,Socialize,18,9
Sexual desire,Socialize,26,9
Romance,Socialize,23,9
Admiration,Walk,2,13
Romance,Run,23,2
Admiration,Study,2,8
Excitement,Sleep,17,10
Boredom,Meditate,9,3
Entrancement,Socialize,15,9
emotion,Run,1,2
Anxiety,Draw,6,6
Satisfaction,Dance,25,5
Fear,Meditate,18,3
Aesthetic appreciation,activity,4,1
Joy,Dance,21,5
Horror,Walk,19,13
Entrancement,Study,15,8
emotion,Run,1,2
Nostalgia,Write,22,7
Envy,Meditate,16,3
Calmness,Lift Weights,10,11
emotion,Run,1,2
Amusement,activity,5,1
Aesthetic appreciation,Sleep,4,10
Craving,Dance,12,5
Horror,Walk,19,13
Awkwardness,Sleep,8,10
Horror,Write,19,7
Interest,Study,20,8
Horror,Run,19,2
Horror,Sing,19,4
Empathetic pain,Lift Weights,14,11
Adoration,Study,3,8
Calmness,Study,10,8
Excitement,Sleep,17,10
Sadness,Dance,24,5
Entrancement,Sing,15,4
Interest,Sing,20,4
Excitement,Write,17,7
Interest,Socialize,20,9
Calmness,Run,10,2
Amusement,Socialize,5,9
Calmness,Study,10,8
Awe,Lift Weights,7,11
Craving,Plank,12,12
Disgust,Dance,13,5
Nostalgia,Socialize,22,9
Confusion,Socialize,11,9
Fear,Draw,18,6
Satisfaction,Sleep,25,10
Confusion,Meditate,11,3
Craving,Walk,12,13
Horror,Walk,19,13
Joy,Sing,21,4
Nostalgia,Dance,22,5
Empathetic pain,Socialize,14,9
Entrancement,Study,15,8
Boredom,activity,9,1
Adoration,Walk,3,13
Satisfaction,Write,25,7
Anxiety,Draw,6,6
Sadness,Plank,24,12
Sexual desire,Plank,26,12
Anxiety,Study,6,8
Satisfaction,Write,25,7
Fear,Draw,18,6
Sadness,Run,24,2
Adoration,Lift Weights,3,11
Anxiety,Study,6,8
Empathetic pain,Lift Weights,14,11
Interest,activity,20,1
Romance,Sing,23,4
Horror,Meditate,19,3
Fear,Dance,18,5
Romance,Meditate,23,3
Awkwardness,Meditate,8,3
Entrancement,Sleep,15,10
Entrancement,Plank,15,12
emotion,Run,1,2
Adoration,Plank,3,12
Admiration,Sing,2,4
Fear,Socialize,18,9
Admiration,activity,2,1
Sadness,Sing,24,4
Fear,Dance,18,5
Excitement,Write,17,7
Satisfaction,Sing,25,4
Anxiety,Draw,6,6
Envy,Meditate,16,3
Interest,Run,20,2
Admiration,Lift Weights,2,11
Joy,Study,21,8
Admiration,Plank,2,12
Nostalgia,Study,22,8
emotion,Run,1,2
Entrancement,Lift Weights,15,11
Entrancement,Sleep,15,10
Sympathy,activity,27,1
Aesthetic appreciation,Write,4,7
Craving,Walk,12,13
Sexual desire,Run,26,2
Envy,Study,16,8
Horror,Socialize,19,9
Calmness,Sing,10,4
Anxiety,Dance,6,5
Disgust,Socialize,13,9
Sadness,Socialize,24,9
Sympathy,Walk,27,13
Confusion,Plank,11,12
emotion,Run,1,2
Admiration,Dance,2,5
Interest,Socialize,20,9
Excitement,Sing,17,4
Disgust,Meditate,13,3
Romance,Meditate,23,3
Joy,Run,21,2
Sexual desire,Socialize,26,9
Anxiety,Study,6,8
Confusion,Meditate,11,3
Entrancement,Plank,15,12
Satisfaction,Dance,25,5
Joy,Socialize,21,9
Confusion,Plank,11,12
Romance,Meditate,23,3
Boredom,Draw,9,6
Nostalgia,Plank,22,12
Envy,Walk,16,13
Awkwardness,Meditate,8,3
Envy,Run,16,2
Confusion,Plank,11,12
Satisfaction,Dance,25,5
Disgust,Lift Weights,13,11
Disgust,Run,13,2
Amusement,Sleep,5,10
Excitement,Draw,17,6
Awe,Sing,7,4
Horror,Walk,19,13
Admiration,Sleep,2,10
Awkwardness,Socialize,8,9
Disgust,Walk,13,13
Sexual desire,Socialize,26,9
Horror,Sing,19,4
Satisfaction,Sing,25,4
Sexual desire,Draw,26,6
Joy,Sleep,21,10
emotion,Run,1,2
Sexual desire,Sing,26,4
Craving,Draw,12,6
Disgust,Run,13,2
Empathetic pain,activity,14,1
emotion,Run,1,2
Sympathy,Study,27,8
Anxiety,Run,6,2
Anxiety,Sleep,6,10
Anxiety,Meditate,6,3
Calmness,Meditate,10,3
Aesthetic appreciation,Walk,4,13
Interest,Socialize,20,9
Envy,Run,16,2
Anxiety,activity,6,1
Calmness,Draw,10,6
Sexual desire,Sing,26,4
Entrancement,Draw,15,6
emotion,Run,1,2
Satisfaction,Lift Weights,25,11
Aesthetic appreciation,Dance,4,5
Envy,Draw,16,6
Envy,Meditate,16,3
Adoration,Dance,3,5
Boredom,Sleep,9,10
Fear,Draw,18,6
Romance,Sing,23,4
Excitement,Socialize,17,9
emotion,Run,1,2
Amusement,Meditate,5,3
Excitement,Write,17,7
Excitement,Draw,17,6
Disgust,Sing,13,4
Envy,Lift Weights,16,11
Entrancement,Study,15,8
Empathetic pain,Lift Weights,14,11
Confusion,Socialize,11,9
Aesthetic appreciation,activity,4,1
Satisfaction,Lift Weights,25,11
Sexual desire,Dance,26,5
Sadness,activity,24,1
Admiration,Walk,2,13
Nostalgia,Run,22,2
Horror,Walk,19,13
Entrancement,Run,15,2
Amusement,Sing,5,4
Sadness,Dance,24,5
Anxiety,Meditate,6,3
Joy,Dance,21,5
Adoration,Walk,3,13
Awkwardness,Sleep,8,10
Boredom,Walk,9,13
Excitement,Lift Weights,17,11
Disgust,Dance,13,5
Boredom,Draw,9,6
Calmness,Meditate,10,3
Satisfaction,Sing,25,4
emotion,Run,1,2
Amusement,Draw,5,6
Joy,Sleep,21,10
Anxiety,activity,6,1
Aesthetic appreciation,Meditate,4,3
Sympathy,Run,27,2
Sexual desire,Run,26,2
Sadness,activity,24,1
Adoration,Write,3,7
emotion,Run,1,2
Anxiety,Write,6,7
Envy,Sleep,16,10
Horror,Plank,19,12
Excitement,Draw,17,6
Adoration,Socialize,3,9
Anxiety,Draw,6,6
Disgust,Walk,13,13
Awe,Run,7,2
emotion,Run,1,2
Boredom,Dance,9,5
Entrancement,Walk,15,13
Nostalgia,Write,22,7
Entrancement,Study,15,8
Interest,Socialize,20,9
Sadness,Study,24,8
Romance,Sleep,23,10
Adoration,Study,3,8
Adoration,Draw,3,6
Admiration,Study,2,8
Empathetic pain,Write,14,7
emotion,Run,1,2
Nostalgia,Sing,22,4
Interest,Run,20,2
Envy,Write,16,7
Adoration,Walk,3,13
emotion,Run,1,2
Excitement,Plank,17,12
Sadness,Plank,24,12
Joy,Meditate,21,3
Romance,activity,23,1
Empathetic pain,Socialize,14,9
Craving,Sleep,12,10
Amusement,Plank,5,12
Horror,Study,19,8
